"","Familysur","Title","PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","TicketFreq","FareAdj","FamilySize","FP","wc","FA","Surname","GroupId","Color","GroupFreq","TicketId","FS","group"
"38",0,"man",38,0,3,"Cann, Mr. Ernest Charles","male",21,0,0,"A./5. 2152",8.05,"","S",1,8.05,1,109.05,0,21,"Cann","noGroup",0,782,"3-A./5. 215X-8.05-S",0.5,0
"39",0,"woman",39,0,3,"Vander Planke, Miss. Augusta Maria","female",18,2,0,"345764",18,"","S",2,9,3,110,2,18,"Vander Planke","Vander Planke-3-34576X-18-S",0,2,"3-34576X-18-S",0,1
"40",1,"woman",40,1,3,"Nicola-Yarred, Miss. Jamila","female",14,1,0,"2651",11.2417,"","C",2,5.62085,2,106.62085,1,-14,"Nicola-Yarred","Nicola-Yarred-3-265X-11.2417-C",1,2,"3-265X-11.2417-C",1,1
"41",0,"woman",41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)","female",40,1,0,"7546",9.475,"","S",1,9.475,2,110.475,2,40,"Ahlin","noGroup",0,1,"3-754X-9.475-S",0.5,2
"42",0,"woman",42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)","female",27,1,0,"11668",21,"","S",2,10.5,2,211.5,2,27,"Turpin","noGroup",0,1,"2-1166X-21-S",0.5,2
"43",0,"man",43,0,3,"Kraeff, Mr. Theodor","male",30.1516245487365,0,0,"349253",7.8958,"","C",1,7.8958,1,108.8958,0,30.1516245487365,"Kraeff","noGroup",0,782,"3-34925X-7.8958-C",0.5,0
"44",1,"woman",44,1,2,"Laroche, Miss. Simonne Marie Anne Andree","female",3,1,2,"SC/Paris 2123",41.5792,"","C",4,10.3948,4,211.3948,1,-3,"Laroche","Laroche-2-SC/Paris 212X-41.5792-C",1,3,"2-SC/Paris 212X-41.5792-C",1,1
"45",1,"woman",45,1,3,"Devaney, Miss. Margaret Delia","female",19,0,0,"330958",7.8792,"","Q",1,7.8792,1,108.8792,2,19,"Devaney","noGroup",1,1,"3-33095X-7.8792-Q",0.5,2
"46",0,"man",46,0,3,"Rogers, Mr. William John","male",30.1516245487365,0,0,"S.C./A.4. 23567",8.05,"","S",1,8.05,1,109.05,0,30.1516245487365,"Rogers","noGroup",0,782,"3-S.C./A.4. 2356X-8.05-S",0.5,0
"47",0,"man",47,0,3,"Lennon, Mr. Denis","male",30.1516245487365,1,0,"370371",15.5,"","Q",2,7.75,2,108.75,0,30.1516245487365,"Lennon","noGroup",0,782,"3-37037X-15.5-Q",0.5,0
"48",1,"woman",48,1,3,"O'Driscoll, Miss. Bridget","female",24.063829787234,0,0,"14311",7.75,"","Q",1,7.75,1,108.75,2,24.063829787234,"O'Driscoll","noGroup",1,1,"3-1431X-7.75-Q",0.5,2
"49",0,"man",49,0,3,"Samaan, Mr. Youssef","male",30.1516245487365,2,0,"2662",21.6792,"","C",3,7.2264,3,108.2264,0,30.1516245487365,"Samaan","noGroup",0,782,"3-266X-21.6792-C",0.5,0
"50",0,"woman",50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)","female",18,1,0,"349237",17.8,"","S",2,8.9,2,109.9,2,18,"Arnold-Franchi","noGroup",0,1,"3-34923X-17.8-S",0.5,2
"51",0,"boy",51,0,3,"Panula, Master. Juha Niilo","male",7,4,1,"3101295",39.6875,"","S",7,5.66964285714286,6,106.669642857143,1,-7,"Panula","Panula-3-310129X-39.6875-S",0,4,"3-310129X-39.6875-S",0,1
"52",0,"man",52,0,3,"Nosworthy, Mr. Richard Cater","male",21,0,0,"A/4. 39886",7.8,"","S",1,7.8,1,108.8,0,21,"Nosworthy","noGroup",0,782,"3-A/4. 3988X-7.8-S",0.5,0
"53",1,"woman",53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)","female",49,1,0,"PC 17572",76.7292,"D33","C",3,25.5764,2,326.5764,2,49,"Harper","noGroup",1,1,"1-PC 1757X-76.7292-C",0.5,2
"54",1,"woman",54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)","female",29,1,0,"2926",26,"","S",2,13,2,214,2,29,"Faunthorpe","noGroup",1,1,"2-292X-26-S",0.5,2
"55",0,"man",55,0,1,"Ostby, Mr. Engelhart Cornelius","male",65,0,1,"113509",61.9792,"B30","C",2,30.9896,2,331.9896,0,65,"Ostby","noGroup",0,782,"1-11350X-61.9792-C",0.5,0
"56",1,"man",56,1,1,"Woolner, Mr. Hugh","male",42.0173267326733,0,0,"19947",35.5,"C52","S",1,35.5,1,336.5,0,42.0173267326733,"Woolner","noGroup",1,782,"1-1994X-35.5-S",0.5,0
"57",1,"woman",57,1,2,"Rugg, Miss. Emily","female",21,0,0,"C.A. 31026",10.5,"","S",1,10.5,1,211.5,2,21,"Rugg","noGroup",1,1,"2-C.A. 3102X-10.5-S",0.5,2
"58",0,"man",58,0,3,"Novel, Mr. Mansouer","male",28.5,0,0,"2697",7.2292,"","C",1,7.2292,1,108.2292,0,28.5,"Novel","noGroup",0,782,"3-269X-7.2292-C",0.5,0
"59",1,"woman",59,1,2,"West, Miss. Constance Mirium","female",5,1,2,"C.A. 34651",27.75,"","S",4,6.9375,4,207.9375,1,-5,"West","West-2-C.A. 3465X-27.75-S",1,3,"2-C.A. 3465X-27.75-S",1,1
"60",0,"boy",60,0,3,"Goodwin, Master. William Frederick","male",11,5,2,"CA 2144",46.9,"","S",8,5.8625,8,106.8625,1,-11,"Goodwin","Goodwin-3-CA 214X-46.9-S",0,6,"3-CA 214X-46.9-S",0,1
"61",0,"man",61,0,3,"Sirayanian, Mr. Orsen","male",22,0,0,"2669",7.2292,"","C",1,7.2292,1,108.2292,0,22,"Sirayanian","noGroup",0,782,"3-266X-7.2292-C",0.5,0
"62",1,"woman",62,1,1,"Icard, Miss. Amelie","female",38,0,0,"113572",80,"B28","",2,40,1,341,2,38,"Icard","noGroup",1,1,"1-11357X-80-",0.5,2
"63",0,"man",63,0,1,"Harris, Mr. Henry Birkhardt","male",45,1,0,"36973",83.475,"C83","S",2,41.7375,2,342.7375,0,45,"Harris","noGroup",0,782,"1-3697X-83.475-S",0.5,0
"64",0,"boy",64,0,3,"Skoog, Master. Harald","male",4,3,2,"347088",27.9,"","S",6,4.65,6,105.65,1,-4,"Skoog","Skoog-3-34708X-27.9-S",0,5,"3-34708X-27.9-S",0,1
"65",0,"man",65,0,1,"Stewart, Mr. Albert A","male",42.0173267326733,0,0,"PC 17605",27.7208,"","C",1,27.7208,1,328.7208,0,42.0173267326733,"Stewart","noGroup",0,782,"1-PC 1760X-27.7208-C",0.5,0
"66",1,"boy",66,1,3,"Moubarek, Master. Gerios","male",7.72877358490566,1,1,"2661",15.2458,"","C",3,5.08193333333333,3,106.081933333333,1,-7.72877358490566,"Moubarek","Moubarek-3-266X-15.2458-C",1,3,"3-266X-15.2458-C",1,1
"67",1,"woman",67,1,2,"Nye, Mrs. (Elizabeth Ramell)","female",29,0,0,"C.A. 29395",10.5,"F33","S",1,10.5,1,211.5,2,29,"Nye","noGroup",1,1,"2-C.A. 2939X-10.5-S",0.5,2
"68",0,"man",68,0,3,"Crease, Mr. Ernest James","male",19,0,0,"S.P. 3464",8.1583,"","S",1,8.1583,1,109.1583,0,19,"Crease","noGroup",0,782,"3-S.P. 346X-8.1583-S",0.5,0
"69",1,"woman",69,1,3,"Andersson, Miss. Erna Alexandra","female",17,4,2,"3101281",7.925,"","S",1,7.925,7,108.925,2,17,"Andersson","noGroup",1,1,"3-310128X-7.925-S",0.5,2
"70",0,"man",70,0,3,"Kink, Mr. Vincenz","male",26,2,0,"315151",8.6625,"","S",1,8.6625,3,109.6625,0,26,"Kink","noGroup",0,782,"3-31515X-8.6625-S",0.5,0
"71",0,"man",71,0,2,"Jenkin, Mr. Stephen Curnow","male",32,0,0,"C.A. 33111",10.5,"","S",1,10.5,1,211.5,0,32,"Jenkin","noGroup",0,782,"2-C.A. 3311X-10.5-S",0.5,0
"72",0,"woman",72,0,3,"Goodwin, Miss. Lillian Amy","female",16,5,2,"CA 2144",46.9,"","S",8,5.8625,8,106.8625,2,16,"Goodwin","Goodwin-3-CA 214X-46.9-S",0,6,"3-CA 214X-46.9-S",0,1
"73",0,"man",73,0,2,"Hood, Mr. Ambrose Jr","male",21,0,0,"S.O.C. 14879",73.5,"","S",7,10.5,1,211.5,0,21,"Hood","noGroup",0,782,"2-S.O.C. 1487X-73.5-S",0.5,0
"74",0,"man",74,0,3,"Chronopoulos, Mr. Apostolos","male",26,1,0,"2680",14.4542,"","C",2,7.2271,2,108.2271,0,26,"Chronopoulos","noGroup",0,782,"3-268X-14.4542-C",0.5,0
"75",1,"man",75,1,3,"Bing, Mr. Lee","male",32,0,0,"1601",56.4958,"","S",8,7.061975,1,108.061975,0,32,"Bing","noGroup",1,782,"3-160X-56.4958-S",0.5,0
"76",0,"man",76,0,3,"Moen, Mr. Sigurd Hansen","male",25,0,0,"348123",7.65,"F G73","S",1,7.65,1,108.65,0,25,"Moen","noGroup",0,782,"3-34812X-7.65-S",0.5,0
"77",0,"man",77,0,3,"Staneff, Mr. Ivan","male",30.1516245487365,0,0,"349208",7.8958,"","S",1,7.8958,1,108.8958,0,30.1516245487365,"Staneff","noGroup",0,782,"3-34920X-7.8958-S",0.5,0
"78",0,"man",78,0,3,"Moutal, Mr. Rahamin Haim","male",30.1516245487365,0,0,"374746",8.05,"","S",1,8.05,1,109.05,0,30.1516245487365,"Moutal","noGroup",0,782,"3-37474X-8.05-S",0.5,0
"79",1,"boy",79,1,2,"Caldwell, Master. Alden Gates","male",0.83,0,2,"248738",29,"","S",3,9.66666666666667,3,210.666666666667,1,-0.83,"Caldwell","Caldwell-2-24873X-29-S",1,2,"2-24873X-29-S",1,1
"80",1,"woman",80,1,3,"Dowdell, Miss. Elizabeth","female",30,0,0,"364516",12.475,"","S",2,6.2375,1,107.2375,2,30,"Dowdell","noGroup",1,1,"3-36451X-12.475-S",0.5,2
"81",0,"man",81,0,3,"Waelens, Mr. Achille","male",22,0,0,"345767",9,"","S",1,9,1,110,0,22,"Waelens","noGroup",0,782,"3-34576X-9-S",0.5,0
"82",1,"man",82,1,3,"Sheerlinck, Mr. Jan Baptist","male",29,0,0,"345779",9.5,"","S",1,9.5,1,110.5,0,29,"Sheerlinck","noGroup",1,782,"3-34577X-9.5-S",0.5,0
"83",1,"woman",83,1,3,"McDermott, Miss. Brigdet Delia","female",24.063829787234,0,0,"330932",7.7875,"","Q",1,7.7875,1,108.7875,2,24.063829787234,"McDermott","noGroup",1,1,"3-33093X-7.7875-Q",0.5,2
"84",0,"man",84,0,1,"Carrau, Mr. Francisco M","male",28,0,0,"113059",47.1,"","S",2,23.55,1,324.55,0,28,"Carrau","noGroup",0,782,"1-11305X-47.1-S",0.5,0
"85",1,"woman",85,1,2,"Ilett, Miss. Bertha","female",17,0,0,"SO/C 14885",10.5,"","S",1,10.5,1,211.5,2,17,"Ilett","noGroup",1,1,"2-SO/C 1488X-10.5-S",0.5,2
"86",0,"woman",86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)","female",33,3,0,"3101278",15.85,"","S",2,7.925,4,108.925,2,33,"Backstrom","noGroup",1,1,"3-310127X-15.85-S",0.5,2
"87",0,"man",87,0,3,"Ford, Mr. William Neal","male",16,1,3,"W./C. 6608",34.375,"","S",5,6.875,5,107.875,0,16,"Ford","noGroup",0,782,"3-W./C. 660X-34.375-S",0.5,0
"88",0,"man",88,0,3,"Slocovski, Mr. Selman Francis","male",30.1516245487365,0,0,"SOTON/OQ 392086",8.05,"","S",1,8.05,1,109.05,0,30.1516245487365,"Slocovski","noGroup",0,782,"3-SOTON/OQ 39208X-8.05-S",0.5,0
"89",0,"woman",89,1,1,"Fortune, Miss. Mabel Helen","female",23,3,2,"19950",263,"C23 C25 C27","S",6,43.8333333333333,6,344.833333333333,2,23,"Fortune","Fortune-1-1995X-263-S",1,4,"1-1995X-263-S",1,1
"90",0,"man",90,0,3,"Celotti, Mr. Francesco","male",24,0,0,"343275",8.05,"","S",1,8.05,1,109.05,0,24,"Celotti","noGroup",0,782,"3-34327X-8.05-S",0.5,0
"91",0,"man",91,0,3,"Christmann, Mr. Emil","male",29,0,0,"343276",8.05,"","S",1,8.05,1,109.05,0,29,"Christmann","noGroup",0,782,"3-34327X-8.05-S",0.5,0
"92",0,"man",92,0,3,"Andreasson, Mr. Paul Edvin","male",20,0,0,"347466",7.8542,"","S",1,7.8542,1,108.8542,0,20,"Andreasson","noGroup",0,782,"3-34746X-7.8542-S",0.5,0
"93",0,"man",93,0,1,"Chaffee, Mr. Herbert Fuller","male",46,1,0,"W.E.P. 5734",61.175,"E31","S",2,30.5875,2,331.5875,0,46,"Chaffee","noGroup",0,782,"1-W.E.P. 573X-61.175-S",0.5,0
"94",0,"man",94,0,3,"Dean, Mr. Bertram Frank","male",26,1,2,"C.A. 2315",20.575,"","S",4,5.14375,4,106.14375,0,26,"Dean","noGroup",0,782,"3-C.A. 231X-20.575-S",0.5,0
"95",0,"man",95,0,3,"Coxon, Mr. Daniel","male",59,0,0,"364500",7.25,"","S",1,7.25,1,108.25,0,59,"Coxon","noGroup",0,782,"3-36450X-7.25-S",0.5,0
"96",0,"man",96,0,3,"Shorney, Mr. Charles Joseph","male",30.1516245487365,0,0,"374910",8.05,"","S",1,8.05,1,109.05,0,30.1516245487365,"Shorney","noGroup",0,782,"3-37491X-8.05-S",0.5,0
"97",0,"man",97,0,1,"Goldschmidt, Mr. George B","male",71,0,0,"PC 17754",34.6542,"A5","C",1,34.6542,1,335.6542,0,71,"Goldschmidt","noGroup",0,782,"1-PC 1775X-34.6542-C",0.5,0
"98",1,"man",98,1,1,"Greenfield, Mr. William Bertram","male",23,0,1,"PC 17759",63.3583,"D10 D12","C",2,31.67915,2,332.67915,0,23,"Greenfield","noGroup",1,782,"1-PC 1775X-63.3583-C",0.5,0
"99",1,"woman",99,1,2,"Doling, Mrs. John T (Ada Julia Bone)","female",34,0,1,"231919",23,"","S",2,11.5,2,212.5,2,34,"Doling","Doling-2-23191X-23-S",1,2,"2-23191X-23-S",1,1
"100",0,"man",100,0,2,"Kantor, Mr. Sinai","male",34,1,0,"244367",26,"","S",2,13,2,214,0,34,"Kantor","noGroup",0,782,"2-24436X-26-S",0.5,0
"101",0,"woman",101,0,3,"Petranec, Miss. Matilda","female",28,0,0,"349245",7.8958,"","S",1,7.8958,1,108.8958,2,28,"Petranec","noGroup",0,1,"3-34924X-7.8958-S",0.5,2
"102",0,"man",102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")","male",30.1516245487365,0,0,"349215",7.8958,"","S",1,7.8958,1,108.8958,0,30.1516245487365,"Petroff","noGroup",0,782,"3-34921X-7.8958-S",0.5,0
"103",0,"man",103,0,1,"White, Mr. Richard Frasar","male",21,0,1,"35281",77.2875,"D26","S",2,38.64375,2,339.64375,0,21,"White","noGroup",0,782,"1-3528X-77.2875-S",0.5,0
"104",0,"man",104,0,3,"Johansson, Mr. Gustaf Joel","male",33,0,0,"7540",8.6542,"","S",1,8.6542,1,109.6542,0,33,"Johansson","noGroup",0,782,"3-754X-8.6542-S",0.5,0
"105",0,"man",105,0,3,"Gustafsson, Mr. Anders Vilhelm","male",37,2,0,"3101276",7.925,"","S",1,7.925,3,108.925,0,37,"Gustafsson","noGroup",0,782,"3-310127X-7.925-S",0.5,0
"106",0,"man",106,0,3,"Mionoff, Mr. Stoytcho","male",28,0,0,"349207",7.8958,"","S",1,7.8958,1,108.8958,0,28,"Mionoff","noGroup",0,782,"3-34920X-7.8958-S",0.5,0
"107",1,"woman",107,1,3,"Salkjelsvik, Miss. Anna Kristine","female",21,0,0,"343120",7.65,"","S",1,7.65,1,108.65,2,21,"Salkjelsvik","noGroup",1,1,"3-34312X-7.65-S",0.5,2
"108",1,"man",108,1,3,"Moss, Mr. Albert Johan","male",30.1516245487365,0,0,"312991",7.775,"","S",1,7.775,1,108.775,0,30.1516245487365,"Moss","noGroup",1,782,"3-31299X-7.775-S",0.5,0
"109",0,"man",109,0,3,"Rekic, Mr. Tido","male",38,0,0,"349249",7.8958,"","S",1,7.8958,1,108.8958,0,38,"Rekic","noGroup",0,782,"3-34924X-7.8958-S",0.5,0
"110",0,"woman",110,1,3,"Moran, Miss. Bertha","female",24.063829787234,1,0,"371110",24.15,"","Q",3,8.05,2,109.05,2,24.063829787234,"Moran","noGroup",1,1,"3-37111X-24.15-Q",0.5,2
"111",0,"man",111,0,1,"Porter, Mr. Walter Chamberlain","male",47,0,0,"110465",52,"C110","S",2,26,1,327,0,47,"Porter","noGroup",0,782,"1-11046X-52-S",0.5,0
"112",0,"woman",112,0,3,"Zabour, Miss. Hileni","female",14.5,1,0,"2665",14.4542,"","C",2,7.2271,2,108.2271,1,-14.5,"Zabour","Zabour-3-266X-14.4542-C",0,2,"3-266X-14.4542-C",0,1
"113",0,"man",113,0,3,"Barton, Mr. David John","male",22,0,0,"324669",8.05,"","S",1,8.05,1,109.05,0,22,"Barton","noGroup",0,782,"3-32466X-8.05-S",0.5,0
"114",0,"woman",114,0,3,"Jussila, Miss. Katriina","female",20,1,0,"4136",9.825,"","S",1,9.825,2,110.825,2,20,"Jussila","Jussila-3-413X-9.825-S",0,2,"3-413X-9.825-S",0,1
"115",0,"woman",115,0,3,"Attalah, Miss. Malake","female",17,0,0,"2627",14.4583,"","C",2,7.22915,1,108.22915,2,17,"Attalah","noGroup",0,1,"3-262X-14.4583-C",0.5,2
"116",0,"man",116,0,3,"Pekoniemi, Mr. Edvard","male",21,0,0,"STON/O 2. 3101294",7.925,"","S",1,7.925,1,108.925,0,21,"Pekoniemi","noGroup",0,782,"3-STON/O 2. 310129X-7.925-S",0.5,0
"117",0,"man",117,0,3,"Connors, Mr. Patrick","male",70.5,0,0,"370369",7.75,"","Q",1,7.75,1,108.75,0,70.5,"Connors","noGroup",0,782,"3-37036X-7.75-Q",0.5,0
"118",0,"man",118,0,2,"Turpin, Mr. William John Robert","male",29,1,0,"11668",21,"","S",2,10.5,2,211.5,0,29,"Turpin","noGroup",0,782,"2-1166X-21-S",0.5,0
"119",0,"man",119,0,1,"Baxter, Mr. Quigg Edmond","male",24,0,1,"PC 17558",247.5208,"B58 B60","C",3,82.5069333333333,2,383.506933333333,0,24,"Baxter","noGroup",0,782,"1-PC 1755X-247.5208-C",0.5,0
"120",0,"woman",120,0,3,"Andersson, Miss. Ellis Anna Maria","female",2,4,2,"347082",31.275,"","S",7,4.46785714285714,7,105.467857142857,1,-2,"Andersson","Andersson-3-34708X-31.275-S",0,6,"3-34708X-31.275-S",0,1
"121",0,"man",121,0,2,"Hickman, Mr. Stanley George","male",21,2,0,"S.O.C. 14879",73.5,"","S",7,10.5,3,211.5,0,21,"Hickman","noGroup",0,782,"2-S.O.C. 1487X-73.5-S",0.5,0
"122",0,"man",122,0,3,"Moore, Mr. Leonard Charles","male",30.1516245487365,0,0,"A4. 54510",8.05,"","S",1,8.05,1,109.05,0,30.1516245487365,"Moore","noGroup",0,782,"3-A4. 5451X-8.05-S",0.5,0
